feat_1,feat_2,feat_3,feat_4,target
5.400,3.900,1.300,0.400,0.000
7.200,3.000,5.800,1.600,2.000
7.600,3.000,6.600,2.100,2.000
4.900,3.100,1.500,0.100,0.000
4.400,3.000,1.300,0.200,0.000
5.100,3.500,1.400,0.200,0.000
7.700,3.800,6.700,2.200,2.000
6.400,2.900,4.300,1.300,1.000
5.000,3.600,1.400,0.200,0.000
5.000,2.000,3.500,1.000,1.000
4.400,2.900,1.400,0.200,0.000
5.100,2.500,3.000,1.100,1.000
5.700,2.900,4.200,1.300,1.000
5.100,3.400,1.500,0.200,0.000
5.900,3.000,4.200,1.500,1.000
6.200,2.900,4.300,1.300,1.000
5.000,3.500,1.600,0.600,0.000
6.900,3.100,5.100,2.300,2.000
5.700,2.800,4.100,1.300,1.000
6.400,3.200,5.300,2.300,2.000
4.800,3.000,1.400,0.100,0.000
5.100,3.800,1.600,0.200,0.000
5.800,2.700,5.100,1.900,2.000
5.800,2.700,4.100,1.000,1.000
5.800,2.600,4.000,1.200,1.000
5.000,3.000,1.600,0.200,0.000
4.500,2.300,1.300,0.300,0.000
6.700,3.300,5.700,2.500,2.000
5.800,2.800,5.100,2.400,2.000
5.600,3.000,4.100,1.300,1.000
6.500,3.000,5.200,2.000,2.000
5.000,3.400,1.500,0.200,0.000
5.100,3.800,1.500,0.300,0.000
6.700,3.300,5.700,2.100,2.000
6.000,2.900,4.500,1.500,1.000
5.800,2.700,5.100,1.900,2.000
4.800,3.400,1.600,0.200,0.000
6.700,2.500,5.800,1.800,2.000
